"osm_id","linestrings"
22829173,"LINESTRING(23.9993521 35.4950195996892,23.999634 35.4952848996892,23.9999017 35.4955647996892,24.0002196 35.4958969996893,24.0002888 35.4959689996893,24.0006588 35.4963543996893,24.0017367 35.4974770996894,24.0020842 35.4978314996894,24.0024371 35.4981628996894,24.0027432 35.4985040996895,24.0030939 35.4989741996895,24.0032965 35.4992534996895,24.0033617 35.4993285996895,24.0033706 35.4993388996895,24.0036591 35.4995909996896,24.0037065 35.4996342996896,24.0040482 35.4999463996896,24.004278 35.5001649996896,24.0044121 35.5003080996896,24.0044805 35.5003986996896,24.0045286 35.5004769996896,24.0047984 35.5009696996897,24.0050639 35.5014784996897,24.0057647 35.5030428996899,24.0059729 35.5034419996899,24.0062374 35.5038759996899,24.0063116 35.5039763996899,24.0064055 35.50409649969,24.0064373 35.50412429969,24.0064674 35.5041440996899,24.0066043 35.50421539969)"
425640717,"LINESTRING(24.0004748 35.5026007996898,24.0001914 35.5027290996898,23.9997467 35.5029228996898,23.9994329 35.5030501996899,23.9985737 35.5034211996899,23.9991421 35.5040052996899,23.9991575 35.5040193996899,23.9997206 35.50453409969,23.9998147 35.50465339969)"
822547190,"LINESTRING(24.0004395 35.5071741996902,24.0003687 35.5072275996902,24.0002654 35.5072483996902,24.0001622 35.5072373996902,24.0000479 35.5072232996902,23.9999301 35.5071955996902,23.9998162 35.5071687996902,23.9994868 35.5070975996902,23.9988405 35.5069325996902,23.9976224 35.5066556996902)"
1096501839,"LINESTRING(23.9990662 35.5013801996897,23.9999415 35.5021134996898,24.0004748 35.5026007996898,24.0006563 35.5027664996898,24.0009051 35.5030038996899,24.0009844 35.5030757996899,24.0011426 35.5032328996899,24.0019768 35.5041281996899,24.0022699 35.50442909969,24.0026267 35.50481119969,24.0027569 35.50495189969,24.0028376 35.50509989969)"
79858368,"LINESTRING(24.0016062 35.5020933996898,24.001282 35.5023147996898,24.0009628 35.5025429996898,24.0006563 35.5027664996898)"
79858370,"LINESTRING(24.002008 35.5022256996898,24.0010433 35.5028955996899,24.0009051 35.5030038996899)"
50349196,"LINESTRING(24.0015557 35.50474729969,24.0010068 35.50419479969,24.000478 35.5036302996899,24.0003646 35.5035313996899,24.0003317 35.5035193996899,24.0002981 35.5035193996899,24.0002626 35.5035302996899,24.0002328 35.5035498996899,24.000156 35.5036522996899,24.0000649 35.5037342996899,24.0000562 35.5037416996899,24.0000468 35.5037455996899,24.0000335 35.5037458996899,24.0000213 35.5037418996899,23.9998257 35.5035276996899)"
50349195,"LINESTRING(24.0022699 35.50442909969,24.0017445 35.50467209969,24.0015557 35.50474729969,24.0010612 35.50498649969,24.0009813 35.50501679969,24.0008806 35.50503489969,24.0006478 35.50504669969,24.0005347 35.50504159969,24.0004174 35.50502139969,24.0003296 35.50497669969,24.0002619 35.50491119969,24.0001229 35.50478909969,23.9998357 35.50470719969,23.9995961 35.50469529969,23.9994553 35.50475339969)"
164624130,"LINESTRING(24.0017445 35.50467209969,24.0020728 35.50522159969,24.0020753 35.50527459969)"
164624134,"LINESTRING(24.0027569 35.50495189969,24.00342 35.50450879969)"
1070762569,"LINESTRING(24.000399 35.5059837996901,23.9997147 35.5058519996901)"
50349194,"LINESTRING(24.0028376 35.50509989969,24.0020753 35.50527459969,24.0015185 35.5053678996901,24.0011302 35.5053868996901,24.0000359 35.5053475996901,23.9996859 35.50537409969)"
115679366,"LINESTRING(24.0018532 35.5062637996901,24.000399 35.5059837996901)"
106106166,"LINESTRING(24.0020753 35.50527459969,24.002085 35.5053877996901,24.0021841 35.5057328996901,24.0022582 35.5059224996901,24.0024446 35.5063491996901,24.0024249 35.5064172996901)"
1070762570,"LINESTRING(24.0024249 35.5064172996901,24.0018532 35.5062637996901)"
23134358,"LINESTRING(24.0000479 35.5072232996902,24.0001635 35.5067330996902,24.0005404 35.5067898996902)"
822547191,"LINESTRING(24.0005404 35.5067898996902,24.0005256 35.5069076996902,24.0004395 35.5071741996902)"
